0|SPEAKER_03|3.641765704584041|4.252971137521223
1|SPEAKER_03|6.663837011884551|10.00848896434635
2|SPEAKER_04|9.091680814940577|9.906621392190154
3|SPEAKER_03|10.67062818336163|49.65195246179966
4|SPEAKER_03|50.39898132427844|52.57215619694397
5|SPEAKER_03|52.72495755517827|66.03565365025466
6|SPEAKER_03|66.66383701188454|80.82342954159591
7|SPEAKER_04|78.46349745331071|79.00679117147709
8|SPEAKER_01|79.00679117147709|79.07470288624788
9|SPEAKER_03|80.99320882852291|81.45161290322582
10|SPEAKER_03|81.65534804753821|82.30050933786077
11|SPEAKER_03|82.99660441426147|83.64176570458403
12|SPEAKER_03|83.98132427843802|87.35993208828523
13|SPEAKER_03|87.58064516129033|128.73514431239389
14|SPEAKER_04|96.62988115449915|97.05432937181664
15|SPEAKER_04|98.0560271646859|98.446519524618
16|SPEAKER_00|126.98641765704585|127.02037351443124
17|SPEAKER_02|127.02037351443124|127.30899830220713
18|SPEAKER_00|127.30899830220713|127.37691001697794
19|SPEAKER_00|127.90322580645162|128.5483870967742
20|SPEAKER_03|129.2275042444822|140.44991511035656
21|SPEAKER_03|141.04414261460104|158.20882852292021
22|SPEAKER_03|158.5483870967742|174.67741935483872
23|SPEAKER_00|158.7351443123939|159.34634974533108
24|SPEAKER_03|174.77928692699493|189.5331069609508
25|SPEAKER_04|175.339558573854|175.4753820033956
26|SPEAKER_00|183.50594227504246|185.0
27|SPEAKER_03|189.78777589134125|194.04923599320884
28|SPEAKER_00|194.04923599320884|194.28692699490662
29|SPEAKER_03|194.28692699490662|194.30390492359933
30|SPEAKER_00|194.30390492359933|194.35483870967744
31|SPEAKER_03|194.35483870967744|201.19694397283533
32|SPEAKER_00|200.53480475382005|204.18505942275044
33|SPEAKER_03|204.18505942275044|204.20203735144312
34|SPEAKER_00|204.20203735144312|204.42275042444822
35|SPEAKER_03|204.42275042444822|221.9779286926995
36|SPEAKER_00|204.50764006791172|205.4414261460102
37|SPEAKER_02|218.31069609507642|218.3276740237691
38|SPEAKER_00|218.3276740237691|218.5993208828523
39|SPEAKER_02|218.5993208828523|218.6842105263158
40|SPEAKER_05|218.6842105263158|218.7351443123939
41|SPEAKER_03|222.3853989813243|225.0169779286927
42|SPEAKER_00|222.4533106960951|228.0730050933786
43|SPEAKER_03|227.39388794567066|233.50594227504246
44|SPEAKER_00|231.45161290322582|233.11544991511036
45|SPEAKER_04|233.11544991511036|233.21731748726657
46|SPEAKER_00|233.21731748726657|233.25127334465196
47|SPEAKER_04|233.25127334465196|233.26825127334467
48|SPEAKER_00|233.26825127334467|233.45500848896435
49|SPEAKER_00|233.50594227504246|233.93039049235995
50|SPEAKER_03|233.93039049235995|237.63157894736844
51|SPEAKER_00|234.04923599320884|234.59252971137522
52|SPEAKER_04|237.69949066213923|240.92529711375212
53|SPEAKER_03|240.80645161290323|249.95755517826828
54|SPEAKER_05|243.82852292020374|243.84550084889645
55|SPEAKER_04|243.84550084889645|244.38879456706283
56|SPEAKER_00|250.89134125636673|256.0865874363328
57|SPEAKER_00|257.37691001697794|257.46179966044144
58|SPEAKER_00|257.6994906621393|262.45331069609506
59|SPEAKER_03|259.77079796264854|259.7877758913413
60|SPEAKER_02|259.7877758913413|260.0084889643464
61|SPEAKER_03|260.0084889643464|269.9575551782683
62|SPEAKER_00|262.58913412563663|262.99660441426147
63|SPEAKER_00|263.981324278438|263.9983022071308
64|SPEAKER_00|264.1680814940578|275.3735144312394
65|SPEAKER_01|273.50594227504246|273.811544991511
66|SPEAKER_00|275.73005093378606|280.99320882852294
67|SPEAKER_03|279.3293718166384|279.85568760611204
68|SPEAKER_03|280.99320882852294|282.1816638370119
69|SPEAKER_00|282.1816638370119|282.21561969439733
70|SPEAKER_03|282.5551782682513|283.87945670628187
71|SPEAKER_03|283.93039049235995|303.7096774193549
72|SPEAKER_04|289.6689303904924|290.1782682512734
73|SPEAKER_04|291.57045840407477|291.893039049236
74|SPEAKER_00|293.9473684210526|293.981324278438
75|SPEAKER_02|293.981324278438|294.2869269949066
76|SPEAKER_00|298.92190152801356|299.8387096774194
77|SPEAKER_00|299.9915110356536|300.11035653650254
78|SPEAKER_00|302.8268251273345|306.9015280135824
79|SPEAKER_03|305.7640067911715|309.02376910016983
80|SPEAKER_00|307.7843803056028|308.34465195246185
81|SPEAKER_00|309.02376910016983|309.05772495755525
82|SPEAKER_03|309.05772495755525|309.5670628183361
83|SPEAKER_00|309.5670628183361|309.6179966044143
84|SPEAKER_00|310.0084889643464|313.9983022071308
85|SPEAKER_02|313.9983022071308|316.0016977928693
86|SPEAKER_03|316.0016977928693|316.86757215619696
87|SPEAKER_02|316.86757215619696|316.9354838709678
88|SPEAKER_00|316.9354838709678|317.00339558573853
89|SPEAKER_03|317.00339558573853|355.73005093378606
90|SPEAKER_00|353.6926994906621|354.0322580645161
91|SPEAKER_00|354.89813242784385|355.0
92|SPEAKER_02|355.0|355.69609507640075
93|SPEAKER_02|355.73005093378606|355.848896434635
94|SPEAKER_03|355.848896434635|364.2020373514431
95|SPEAKER_03|364.4057724957555|373.0305602716469
96|SPEAKER_04|376.0526315789474|380.2631578947369
97|SPEAKER_03|378.51443123938884|379.5331069609508
98|SPEAKER_03|380.48387096774195|382.79286926994905
99|SPEAKER_03|383.0305602716469|393.7436332767403
100|SPEAKER_04|384.7623089983023|387.29202037351445
101|SPEAKER_00|387.29202037351445|387.32597623089987
102|SPEAKER_04|387.32597623089987|387.3429541595925
103|SPEAKER_00|387.3429541595925|387.46179966044144
